t,V,X,P
2178.80898734873,11.3418823662011,23570,486.446573661177
2179.69074107753,11.3410351136838,23580,486.374926987686
2180.57256068217,11.3401878881761,23590,486.303290510913
2181.45444617036,11.3393406897278,23600,486.231664233713
2182.33639754986,11.3384935183886,23610,486.160048158945
2183.21841482840,11.3376463742084,23620,486.088442289465
2184.10049801371,11.3367992572369,23630,486.016846628133
2184.98264711351,11.3359521675240,23640,485.945261177809
2185.86486213554,11.3351051051196,23650,485.873685941354
2186.74714308752,11.3342580700736,23660,485.802120921630
2187.62948997716,11.3334110624360,23670,485.730566121500
2188.51190281219,11.3325640822568,23680,485.659021543828
2189.39438160033,11.3317171295859,23690,485.587487191480
2190.27692634928,11.3308702044734,23700,485.515963067321
2191.15953706675,11.3300233069694,23710,485.444449174219
2192.04221376047,11.3291764371241,23720,485.372945515043
2192.92495643812,11.3283295949875,23730,485.301452092660
2193.80776510741,11.3274827806098,23740,485.229968909942
2194.69063977605,11.3266359940413,23750,485.158495969760
2195.57358045172,11.3257892353322,23760,485.087033274986
2196.45658714213,11.3249425045328,23770,485.015580828493
2197.33965985497,11.3240958016934,23780,484.944138633156
2198.22279859791,11.3232491268643,23790,484.872706691850
2199.10600337867,11.3224024800960,23800,484.801285007452
2199.98927420490,11.3215558614387,23810,484.729873582839
2200.87261108430,11.3207092709430,23820,484.658472420889
2201.75601402455,11.3198627086594,23830,484.587081524481
2202.63948303331,11.3190161746383,23840,484.515700896497
2203.52301811827,11.3181696689303,23850,484.444330539818
2204.40661928709,11.3173231915859,23860,484.372970457326
2205.29028654744,11.3164767426558,23870,484.301620651905
2206.17401990698,11.3156303221907,23880,484.230281126439
2207.05781937339,11.3147839302410,23890,484.158951883815
2207.94168495430,11.3139375668577,23900,484.087632926918
2208.82561665739,11.3130912320914,23910,484.016324258636
2209.70961449031,11.3122449259928,23920,483.945025881858
2210.59367846070,11.3113986486129,23930,483.873737799474
2211.47780857622,11.3105524000023,23940,483.802460014375
