,t,V,X,P,wo2
31,27.1973628045316,11.3854365360783,310,340.438098783008,2635425.23439030
32,28.0757432986785,11.3845879623174,320,340.399527006451,2635126.23408556
33,28.9541892677185,11.3837394130552,330,340.360959294551,2634827.24537285
34,29.8327007195188,11.3828908883398,340,340.322395649023,2634528.26825097
35,30.7112776619444,11.3820423882193,350,340.283836071573,2634229.30271872
36,31.5899201028578,11.3811939127418,360,340.245280563911,2633930.34877490
37,32.4686280501191,11.3803454619556,370,340.206729127755,2633631.40641830
38,33.3474015115862,11.3794970359088,380,340.168181764814,2633332.47564773
39,34.2262404951144,11.3786486346496,390,340.129638476798,2633033.55646198
40,35.1051450085567,11.3778002582263,400,340.091099265423,2632734.64885986
41,35.9841150597637,11.3769519066874,410,340.052564132415,2632435.75284015
42,36.8631506565834,11.376103580081,420,340.014033079476,2632136.86840165
43,37.7422518068618,11.3752552784555,430,339.975506108329,2631837.99554317
44,38.621418518442,11.3744070018594,440,339.936983220693,2631539.13426348
45,39.5006507991651,11.373558750341,450,339.898464418281,2631240.28456140
46,40.3799486568694,11.3727105239489,460,339.859949702820,2630941.44643571
47,41.2593120993911,11.3718623227315,470,339.821439076025,2630642.61988520
48,42.1387411345638,11.3710141467374,480,339.782932539619,2630343.80490867
49,43.0182357702186,11.3701659960151,490,339.744430095325,2630045.00150490
50,43.8977960141843,11.3693178706132,500,339.705931744862,2629746.20967270
51,44.7774218742871,11.3684697705803,510,339.667437489956,2629447.42941085
52,45.657113358351,11.3676216959652,520,339.628947332334,2629148.66071814
53,46.5368704741972,11.3667736468163,530,339.590461273711,2628849.90359336
54,47.4166932296447,11.3659256231826,540,339.551979315826,2628551.15803530
55,48.29658163251,11.3650776251127,550,339.513501460397,2628252.42404275
56,49.1765356906069,11.3642296526554,560,339.475027709154,2627953.70161450
57,50.0565554117471,11.3633817058595,570,339.436558063825,2627654.99074932
58,50.9366408037395,11.362533784774,580,339.398092526145,2627356.29144602
59,51.8167918743908,11.3616858894475,590,339.359631097832,2627057.60370337
60,52.6970086315048,11.3608380199291,600,339.321173780625,2626758.92752017
61,53.5772910828832,11.3599901762678,610,339.282720576260,2626460.26289519
62,54.4576392363251,11.3591423585124,620,339.244271486461,2626161.60982722
63,55.3380530996271,11.3582945667119,630,339.205826512958,2625862.96831505
64,56.218532680583,11.3574468009155,640,339.167385657497,2625564.33835745
65,57.0990779869846,11.3565990611722,650,339.128948921807,2625265.71995321
66,57.9796890266209,11.3557513475311,660,339.090516307626,2624967.11310111
67,58.8603658072783,11.3549036600413,670,339.052087816687,2624668.51779994
68,59.7411083367408,11.354055998752,680,339.013663450730,2624369.93404847
69,60.6219166227899,11.3532083637123,690,338.975243211487,2624071.36184548
70,61.5027906732046,11.3523607549716,700,338.936827100708,2623772.80118976
71,62.3837304957611,11.351513172579,710,338.898415120125,2623474.25208008
72,63.2647360982334,11.3506656165839,720,338.860007271481,2623175.71451522
73,64.1458074883927,11.3498180870357,730,338.821603556522,2622877.18849396
74,65.0269446740079,11.3489705839835,740,338.783203976980,2622578.67401507
75,65.9081476628449,11.348123107477,750,338.744808534610,2622280.17107734
76,66.7894164626676,11.3472756575653,760,338.706417231144,2621981.67967953
77,67.670751081237,11.3464282342982,770,338.668030068341,2621683.19982043
78,68.5521515263116,11.3455808377249,780,338.629647047932,2621384.73149881
79,69.4336178056472,11.344733467895,790,338.591268171672,2621086.27471344
80,70.3151499269973,11.3438861248582,800,338.552893441310,2620787.82946309
81,71.1967478981126,11.3430388086639,810,338.514522858587,2620489.39574655
82,72.0784117267412,11.3421915193618,820,338.476156425258,2620190.97356257
83,72.9601414206288,11.3413442570015,830,338.437794143068,2619892.56290995
84,73.8419369875184,11.3404970216328,840,338.399436013775,2619594.16378743
85,74.7237984351503,11.3396498133052,850,338.361082039121,2619295.77619380
